,x1,y1,x2,y2,Class,image,Type,MPG,Median MPG
34,223,87,1111,670,154,00035.jpg,SUV,16,0
35,138,41,521,223,104,00036.jpg,Coupe,14,0
36,31,87,616,344,38,00037.jpg,Convertible,22.4,1
37,16,89,459,326,97,00038.jpg,Sedan,18.7,1
38,53,113,614,350,105,00039.jpg,Sedan,24.7,1
39,214,110,660,403,142,00040.jpg,SUV,16,0
40,61,55,566,408,13,00041.jpg,Coupe,24.5,1
41,28,61,622,371,191,00042.jpg,Hatchback,24,1
42,22,39,588,362,119,00043.jpg,Van,13.2,0
43,220,193,537,364,38,00044.jpg,Convertible,22.4,1
44,12,108,489,297,186,00045.jpg,SUV,15,0
45,28,80,759,466,25,00046.jpg,Coupe,20,1
46,84,248,1102,899,194,00047.jpg,Sedan,20.5,1
47,142,69,753,451,177,00048.jpg,Sedan,14,0
48,166,543,887,903,173,00049.jpg,Sedan,20.1,1
49,20,96,564,341,42,00050.jpg,Coupe,14,0
50,41,181,607,465,91,00051.jpg,Pickup Truck,15.5,0
51,39,29,774,395,148,00052.jpg,SUV,20.6,1
52,161,191,425,307,15,00053.jpg,Coupe,14.8,0
53,58,562,1528,1081,97,00054.jpg,Sedan,18.7,1
54,80,120,582,391,42,00055.jpg,Coupe,14,0
55,32,48,472,267,53,00056.jpg,Pickup Truck,14,0
56,260,138,972,439,44,00057.jpg,Sedan,13,0
57,11,35,256,173,65,00058.jpg,Pickup Truck,17,0
58,68,91,607,354,90,00059.jpg,Pickup Truck,15.5,0
59,129,120,345,269,124,00060.jpg,Pickup Truck,15,0
60,11,104,1011,742,114,00061.jpg,Pickup Truck,15,0
61,19,21,425,265,190,00062.jpg,Hatchback,27.6,1
62,175,330,928,647,101,00063.jpg,Coupe,13,0
63,97,39,925,700,187,00064.jpg,Sedan,32.8,1
64,63,175,417,320,8,00065.jpg,Convertible,15.8,0
65,30,39,221,125,17,00066.jpg,Sedan,18.3,0
66,129,89,594,432,111,00067.jpg,Pickup Truck,18.7,1
67,32,43,598,350,122,00068.jpg,Pickup Truck,18.6,0
68,142,124,675,445,5,00069.jpg,Sedan,23.7,1
69,220,313,1054,976,29,00070.jpg,Sedan,25.5,1
70,8,12,639,299,126,00071.jpg,Van,21.5,1
71,92,271,1178,749,94,00072.jpg,SUV,17.3,0
72,15,12,314,230,106,00073.jpg,Pickup Truck,17.1,0
73,14,12,309,223,106,00074.jpg,Pickup Truck,17.1,0
74,45,74,522,253,188,00075.jpg,Sedan,29,1
75,12,27,284,166,59,00076.jpg,Convertible,18.7,1
76,25,25,3502,2017,110,00077.jpg,SUV,25.2,1
77,36,88,611,417,43,00078.jpg,Coupe,13,0
78,165,126,749,425,133,00079.jpg,SUV,18.5,0
79,20,21,292,217,111,00080.jpg,Pickup Truck,18.7,1
80,10,55,540,271,8,00081.jpg,Convertible,15.8,0
81,63,113,597,413,192,00082.jpg,Hatchback,24.8,1
82,55,48,294,205,18,00083.jpg,Station Wagon,18,0
83,27,67,620,474,116,00084.jpg,Van,13.5,0
84,15,80,629,402,49,00085.jpg,Sedan,24,1
85,119,300,1416,871,145,00086.jpg,SUV,23.6,1
86,17,36,455,215,49,00087.jpg,Sedan,24,1
87,171,176,2373,1751,170,00088.jpg,Hatchback,27.7,1
88,49,195,1003,617,20,00089.jpg,Sedan,16,0
89,5,43,296,211,114,00090.jpg,Pickup Truck,15,0
90,49,57,494,419,165,00091.jpg,Sedan,17.5,0
91,101,84,492,272,138,00092.jpg,Sedan,26.7,1
92,23,53,258,144,175,00093.jpg,Convertible,14,0
93,19,60,783,440,112,00094.jpg,Coupe,14,0
94,110,171,1213,648,122,00095.jpg,Pickup Truck,18.6,0
95,39,67,346,206,104,00096.jpg,Coupe,14,0
96,3,7,76,50,57,00097.jpg,Coupe,18.3,0
97,65,37,578,360,51,00098.jpg,Sedan,19,1
98,27,60,486,364,37,00099.jpg,SUV,21,1
99,22,180,454,355,71,00100.jpg,Van,14.8,0
100,70,39,940,742,193,00101.jpg,Hatchback,24,1
101,99,130,396,222,105,00102.jpg,Sedan,24.7,1
102,85,107,609,381,61,00103.jpg,Sedan,21,1
103,1,76,480,315,74,00104.jpg,Pickup Truck,16,0
104,57,266,967,623,133,00105.jpg,SUV,18.5,0
105,69,75,236,161,162,00106.jpg,Sedan,20.8,1
106,24,17,249,163,131,00107.jpg,SUV,22,1
107,7,27,212,147,88,00108.jpg,Van,18.6,0
108,18,14,248,168,121,00109.jpg,SUV,19,1
109,19,2,591,387,180,00110.jpg,Coupe,15,0
110,52,6,759,513,180,00111.jpg,Coupe,15,0
111,231,103,430,226,137,00112.jpg,Sedan,20,1
112,91,148,700,582,133,00113.jpg,SUV,18.5,0
113,19,72,624,397,71,00114.jpg,Van,14.8,0
114,26,90,376,243,83,00115.jpg,Station Wagon,25,1
115,132,120,667,401,110,00116.jpg,SUV,25.2,1
116,84,44,663,342,42,00117.jpg,Coupe,14,0
117,87,235,591,412,177,00118.jpg,Sedan,14,0
118,173,370,1207,960,147,00119.jpg,SUV,17.5,0
119,3,19,195,114,161,00120.jpg,Convertible,18.4,0
120,49,143,487,455,109,00121.jpg,SUV,16,0
121,72,67,233,176,28,00122.jpg,Coupe,21.5,1
122,151,568,1954,1271,144,00123.jpg,Coupe,17.8,0
123,14,88,271,178,53,00124.jpg,Pickup Truck,14,0
124,135,761,1894,1353,29,00125.jpg,Sedan,25.5,1
125,44,123,778,487,66,00126.jpg,Sedan,28.7,1
126,69,103,537,322,79,00127.jpg,Sedan,18.8,1
127,86,78,355,284,13,00128.jpg,Coupe,24.5,1
128,50,80,592,273,136,00129.jpg,Sedan,31.5,1
129,95,161,543,368,143,00130.jpg,SUV,16,0
130,275,195,863,474,171,00131.jpg,Coupe,20.5,1
131,99,78,557,389,89,00132.jpg,SUV,20.3,1
132,11,126,426,360,135,00133.jpg,Sedan,27.5,1
133,1,2,267,185,161,00134.jpg,Convertible,18.4,0
134,19,735,2669,2192,58,00135.jpg,SUV,19,1
135,21,35,279,195,122,00136.jpg,Pickup Truck,18.6,0
136,45,99,593,403,178,00137.jpg,Hatchback,29,1
137,130,282,1425,900,56,00138.jpg,Coupe,18,0
138,72,215,628,481,184,00139.jpg,Sedan,26.3,1
139,62,95,633,434,191,00140.jpg,Hatchback,24,1
140,13,106,476,260,40,00141.jpg,Sedan,11,0
141,78,300,952,633,60,00142.jpg,Station Wagon,24.9,1
142,72,51,566,412,155,00143.jpg,SUV,18,0
143,66,59,283,202,71,00144.jpg,Van,14.8,0
144,135,36,1181,885,140,00145.jpg,Sedan,23,1
145,2,5,298,162,42,00146.jpg,Coupe,14,0
146,8,12,770,309,76,00147.jpg,SUV,16.4,0
147,24,78,608,379,187,00148.jpg,Sedan,32.8,1
148,34,1,242,179,86,00149.jpg,Pickup Truck,15.4,0
149,11,208,596,386,8,00150.jpg,Convertible,15.8,0
150,8,37,294,150,5,00151.jpg,Sedan,23.7,1
151,23,66,499,311,47,00152.jpg,Sedan,23.3,1
152,6,138,627,361,30,00153.jpg,Station Wagon,20.3,1
153,17,105,385,243,18,00154.jpg,Station Wagon,18,0
154,76,4,1585,1120,149,00155.jpg,SUV,23.6,1
155,22,21,211,139,174,00156.jpg,Van,20,1
156,32,130,973,661,138,00157.jpg,Sedan,26.7,1
157,75,236,1196,846,179,00158.jpg,Convertible,15,0
158,37,139,988,694,24,00159.jpg,Sedan,15.5,0
159,114,46,546,287,42,00160.jpg,Coupe,14,0
160,12,83,629,354,73,00161.jpg,Sedan,21.2,1
161,38,66,548,385,176,00162.jpg,Sedan,15,0
162,46,84,661,428,1,00163.jpg,SUV,10,0
163,13,29,239,174,37,00164.jpg,SUV,21,1
164,27,65,490,220,36,00165.jpg,Convertible,13,0
165,4,69,402,245,108,00166.jpg,Van,17.5,0
166,19,27,429,258,41,00167.jpg,Sedan,13,0
167,110,96,565,389,40,00168.jpg,Sedan,11,0
168,2,22,140,81,119,00169.jpg,Van,13.2,0
169,48,71,615,453,119,00170.jpg,Van,13.2,0
170,41,42,262,170,19,00171.jpg,Hatchback,26,1
171,6,108,493,267,163,00172.jpg,Coupe,15,0
172,26,61,508,342,120,00173.jpg,SUV,21,1
173,13,29,249,159,54,00174.jpg,Pickup Truck,21,1
174,69,120,739,502,116,00175.jpg,Van,13.5,0
175,45,85,1005,558,66,00176.jpg,Sedan,28.7,1
176,98,22,650,302,50,00177.jpg,SUV,18.5,0
177,5,28,285,148,122,00178.jpg,Pickup Truck,18.6,0
178,42,113,601,439,155,00179.jpg,SUV,18,0
179,3,40,297,157,142,00180.jpg,SUV,16,0
180,84,256,913,752,68,00181.jpg,SUV,15.3,0
181,43,226,1001,630,170,00182.jpg,Hatchback,27.7,1
182,2,9,196,125,161,00183.jpg,Convertible,18.4,0
183,34,51,604,344,161,00184.jpg,Convertible,18.4,0
184,24,35,620,438,133,00185.jpg,SUV,18.5,0
185,6,72,255,178,125,00186.jpg,Pickup Truck,15.3,0
186,4,408,1600,934,160,00187.jpg,Coupe,18,0
187,25,162,1241,764,93,00188.jpg,Coupe,16.5,0
188,18,15,583,421,183,00189.jpg,Hatchback,25,1
189,198,416,1271,935,45,00190.jpg,Convertible,10,0
190,129,75,654,422,143,00191.jpg,SUV,16,0
191,37,24,259,212,189,00192.jpg,SUV,19,1
192,82,107,990,723,48,00193.jpg,SUV,16.3,0
193,187,327,1211,769,176,00194.jpg,Sedan,15,0
194,150,339,1313,771,77,00195.jpg,Convertible,21.3,1
195,26,46,266,213,190,00196.jpg,Hatchback,27.6,1
196,47,102,492,371,110,00197.jpg,SUV,25.2,1
197,91,121,574,357,6,00198.jpg,Coupe,23.7,1
198,151,298,1285,835,191,00199.jpg,Hatchback,24,1
199,30,55,301,187,16,00200.jpg,Sedan,15,0
200,21,1,386,200,12,00201.jpg,Convertible,14.5,0
201,233,217,1228,807,90,00202.jpg,Pickup Truck,15.5,0
202,30,167,945,545,188,00203.jpg,Sedan,29,1
203,11,61,284,151,128,00204.jpg,Coupe,24,1
204,29,70,612,356,23,00205.jpg,Sedan,21,1
205,117,222,558,434,11,00206.jpg,Coupe,15,0
206,31,119,438,258,93,00207.jpg,Coupe,16.5,0
207,26,151,360,256,8,00208.jpg,Convertible,15.8,0
208,58,136,973,636,63,00209.jpg,Sedan,29.8,1
209,8,80,639,366,173,00210.jpg,Sedan,20.1,1
210,11,47,598,365,176,00211.jpg,Sedan,15,0
211,8,20,254,155,72,00212.jpg,Coupe,21,1
212,37,62,261,191,195,00213.jpg,SUV,16.8,0
213,70,78,915,640,114,00214.jpg,Pickup Truck,15,0
214,38,50,221,138,72,00215.jpg,Coupe,21,1
215,21,45,133,88,119,00216.jpg,Van,13.2,0
216,45,39,594,444,18,00217.jpg,Station Wagon,18,0
217,39,94,337,245,77,00218.jpg,Convertible,21.3,1
218,89,1,597,316,18,00219.jpg,Station Wagon,18,0
219,16,103,462,347,107,00220.jpg,Convertible,18.2,0
220,29,21,477,299,10,00221.jpg,Convertible,15,0
221,89,58,545,338,196,00222.jpg,Convertible,36,1
222,42,115,299,288,99,00223.jpg,Hatchback,30,1
223,19,10,177,134,88,00224.jpg,Van,18.6,0
224,20,50,463,313,121,00225.jpg,SUV,19,1
225,46,15,202,156,111,00226.jpg,Pickup Truck,18.7,1
226,36,63,613,397,61,00227.jpg,Sedan,21,1
227,237,156,896,365,141,00228.jpg,Coupe,20.3,1
228,5,46,255,138,136,00229.jpg,Sedan,31.5,1
229,223,542,3692,2478,183,00230.jpg,Hatchback,25,1
230,73,109,606,374,106,00231.jpg,Pickup Truck,17.1,0
231,15,110,544,381,84,00232.jpg,Station Wagon,24,1
232,276,124,1495,951,194,00233.jpg,Sedan,20.5,1
233,99,364,1211,954,132,00234.jpg,SUV,23.2,1
234,59,63,549,404,111,00235.jpg,Pickup Truck,18.7,1
235,19,138,571,424,7,00236.jpg,Hatchback,19,1
236,11,10,396,265,65,00237.jpg,Pickup Truck,17,0
237,163,91,527,346,26,00238.jpg,Sedan,26,1
238,4,19,255,172,16,00239.jpg,Sedan,15,0
239,45,60,251,171,138,00240.jpg,Sedan,26.7,1
240,32,59,1011,709,170,00241.jpg,Hatchback,27.7,1
241,10,53,273,167,102,00242.jpg,Convertible,15,0
242,270,228,727,416,168,00243.jpg,Hatchback,99,1
243,21,93,479,331,7,00244.jpg,Hatchback,19,1
244,22,59,536,238,61,00245.jpg,Sedan,21,1
245,1,317,1280,945,167,00246.jpg,Sedan,24.2,1
246,47,125,850,468,137,00247.jpg,Sedan,20,1
247,52,167,508,387,177,00248.jpg,Sedan,14,0
248,6,155,631,450,153,00249.jpg,Coupe,11,0
249,11,35,246,186,190,00250.jpg,Hatchback,27.6,1
250,576,466,2994,1953,167,00251.jpg,Sedan,24.2,1
251,37,50,253,158,105,00252.jpg,Sedan,24.7,1
252,51,105,579,335,50,00253.jpg,SUV,18.5,0
253,21,11,296,141,131,00254.jpg,SUV,22,1
254,29,78,734,396,6,00255.jpg,Coupe,23.7,1
255,85,215,776,511,21,00256.jpg,Convertible,18.7,1
256,23,146,617,329,31,00257.jpg,Convertible,16.3,0
257,34,86,227,166,51,00258.jpg,Sedan,19,1
258,75,254,2514,1929,187,00259.jpg,Sedan,32.8,1
259,28,164,698,417,134,00260.jpg,Sedan,36,1
260,32,79,378,221,16,00261.jpg,Sedan,15,0
261,158,132,501,293,103,00262.jpg,Convertible,14,0
262,177,299,730,673,40,00263.jpg,Sedan,11,0
263,42,72,472,299,69,00264.jpg,Pickup Truck,16,0
264,15,74,387,195,55,00265.jpg,Convertible,18,0
265,22,300,786,552,17,00266.jpg,Sedan,18.3,0
266,25,133,620,374,46,00267.jpg,Coupe,10,0
267,49,53,596,398,74,00268.jpg,Pickup Truck,16,0
268,29,192,605,391,185,00269.jpg,Sedan,89,1
269,15,70,357,186,122,00270.jpg,Pickup Truck,18.6,0
270,11,23,141,80,174,00271.jpg,Van,20,1
271,8,1,590,327,100,00272.jpg,Convertible,29,1
272,37,65,458,321,69,00273.jpg,Pickup Truck,16,0
273,31,69,435,310,20,00274.jpg,Sedan,16,0
274,165,183,495,358,130,00275.jpg,Hatchback,30.5,1
275,75,93,529,360,132,00276.jpg,SUV,23.2,1
276,72,193,926,613,173,00277.jpg,Sedan,20.1,1
277,1,38,251,135,156,00278.jpg,Sedan,19,1
278,16,31,553,297,47,00279.jpg,Sedan,23.3,1
279,3,33,261,176,107,00280.jpg,Convertible,18.2,0
280,214,240,387,342,151,00281.jpg,Coupe,13,0
281,20,97,460,356,61,00282.jpg,Sedan,21,1
282,112,190,664,342,105,00283.jpg,Sedan,24.7,1
283,49,101,942,619,94,00284.jpg,SUV,17.3,0
284,7,20,634,298,194,00285.jpg,Sedan,20.5,1
285,116,143,769,713,195,00286.jpg,SUV,16.8,0
286,56,299,1266,721,91,00287.jpg,Pickup Truck,15.5,0
287,60,46,258,138,189,00288.jpg,SUV,19,1
288,205,197,741,425,15,00289.jpg,Coupe,14.8,0
289,68,30,620,506,140,00290.jpg,Sedan,23,1
290,27,147,573,471,142,00291.jpg,SUV,16,0
291,133,73,806,251,10,00292.jpg,Convertible,15,0
292,24,27,936,380,104,00293.jpg,Coupe,14,0
293,11,141,629,386,48,00294.jpg,SUV,16.3,0
294,150,114,524,433,50,00295.jpg,SUV,18.5,0
295,18,115,618,456,120,00296.jpg,SUV,21,1
296,56,157,639,455,87,00297.jpg,Pickup Truck,15.4,0
297,49,67,362,245,177,00298.jpg,Sedan,14,0
298,24,66,982,711,147,00299.jpg,SUV,17.5,0
299,41,103,994,692,169,00300.jpg,Van,14,0
300,52,36,247,189,121,00301.jpg,SUV,19,1
301,1,37,296,171,19,00302.jpg,Hatchback,26,1
302,6,47,297,193,31,00303.jpg,Convertible,16.3,0
303,14,29,235,168,156,00304.jpg,Sedan,19,1
304,37,21,169,122,143,00305.jpg,SUV,16,0
305,37,125,582,456,83,00306.jpg,Station Wagon,25,1
306,171,63,1187,894,58,00307.jpg,SUV,19,1
307,16,136,775,418,6,00308.jpg,Coupe,23.7,1
308,50,122,589,338,127,00309.jpg,Van,18.5,0
309,36,43,407,319,131,00310.jpg,SUV,22,1
310,1,69,280,228,15,00311.jpg,Coupe,14.8,0
311,53,79,627,464,73,00312.jpg,Sedan,21.2,1
312,13,44,477,289,24,00313.jpg,Sedan,15.5,0
313,33,71,615,435,87,00314.jpg,Pickup Truck,15.4,0
314,555,278,1543,1207,170,00315.jpg,Hatchback,27.7,1
315,10,29,276,164,123,00316.jpg,Convertible,33.5,1
316,2,48,300,202,158,00317.jpg,Convertible,12,0
317,73,159,445,376,11,00318.jpg,Coupe,15,0
318,38,8,564,402,47,00319.jpg,Sedan,23.3,1
319,42,17,440,282,7,00320.jpg,Hatchback,19,1
320,42,63,593,397,94,00321.jpg,SUV,17.3,0
321,9,304,1009,677,75,00322.jpg,Pickup Truck,16,0
322,161,263,632,415,182,00323.jpg,Sedan,24.8,1
323,15,26,199,123,186,00324.jpg,SUV,15,0
324,12,21,285,142,128,00325.jpg,Coupe,24,1
325,29,28,432,249,193,00326.jpg,Hatchback,24,1
326,2,6,546,298,180,00327.jpg,Coupe,15,0
327,41,49,244,176,62,00328.jpg,SUV,21,1
328,10,105,660,475,114,00329.jpg,Pickup Truck,15,0
329,168,92,333,305,166,00330.jpg,Van,18.3,0
330,26,81,596,391,181,00331.jpg,Sedan,23.7,1
331,76,247,396,396,101,00332.jpg,Coupe,13,0
332,30,110,472,316,103,00333.jpg,Convertible,14,0
333,179,300,1403,894,22,00334.jpg,Coupe,18,0
334,23,31,236,176,125,00335.jpg,Pickup Truck,15.3,0
335,309,598,1767,995,112,00336.jpg,Coupe,14,0
336,45,55,530,308,38,00337.jpg,Convertible,22.4,1
337,14,129,441,360,106,00338.jpg,Pickup Truck,17.1,0
338,39,5,234,174,56,00339.jpg,Coupe,18,0
339,139,152,488,305,9,00340.jpg,Coupe,15.8,0
340,62,116,974,610,67,00341.jpg,Sedan,29,1
341,152,195,502,436,169,00342.jpg,Van,14,0
342,63,36,760,504,147,00343.jpg,SUV,17.5,0
343,36,59,770,397,145,00344.jpg,SUV,23.6,1
344,26,13,234,194,113,00345.jpg,Pickup Truck,17.1,0
345,112,21,2859,1928,63,00346.jpg,Sedan,29.8,1
346,100,190,907,691,145,00347.jpg,SUV,23.6,1
347,14,59,522,266,55,00348.jpg,Convertible,18,0
348,42,82,956,685,89,00349.jpg,SUV,20.3,1
349,17,52,247,158,86,00350.jpg,Pickup Truck,15.4,0
350,13,108,454,305,42,00351.jpg,Coupe,14,0
351,107,40,433,240,143,00352.jpg,SUV,16,0
352,3,60,499,289,117,00353.jpg,Sedan,32,1
353,44,212,984,596,57,00354.jpg,Coupe,18.3,0
354,28,93,1011,675,170,00355.jpg,Hatchback,27.7,1
355,187,313,1381,1087,115,00356.jpg,Sedan,25.3,1
356,31,47,415,255,39,00357.jpg,Convertible,14,0
357,53,116,562,353,29,00358.jpg,Sedan,25.5,1
358,27,71,630,422,58,00359.jpg,SUV,19,1
359,12,23,245,176,70,00360.jpg,Pickup Truck,15.7,0
360,17,64,941,620,119,00361.jpg,Van,13.2,0
361,108,121,539,357,50,00362.jpg,SUV,18.5,0
362,14,60,402,300,128,00363.jpg,Coupe,24,1
363,15,47,286,184,53,00364.jpg,Pickup Truck,14,0
364,17,82,630,496,53,00365.jpg,Pickup Truck,14,0
365,67,55,508,338,32,00366.jpg,SUV,17,0
366,30,118,618,334,177,00367.jpg,Sedan,14,0
367,14,76,292,195,59,00368.jpg,Convertible,18.7,1
368,40,52,603,357,128,00369.jpg,Coupe,24,1
369,57,148,568,363,10,00370.jpg,Convertible,15,0
370,5,56,430,245,83,00371.jpg,Station Wagon,25,1
371,2,190,371,490,168,00372.jpg,Hatchback,99,1
372,243,318,805,629,172,00373.jpg,Coupe,26,1
373,9,184,740,499,6,00374.jpg,Coupe,23.7,1
374,122,48,697,401,176,00375.jpg,Sedan,15,0
375,74,187,917,734,135,00376.jpg,Sedan,27.5,1
376,20,48,624,453,133,00377.jpg,SUV,18.5,0
377,16,25,290,215,156,00378.jpg,Sedan,19,1
378,119,194,942,586,54,00379.jpg,Pickup Truck,21,1
379,137,76,600,370,99,00380.jpg,Hatchback,30,1
380,66,88,455,322,125,00381.jpg,Pickup Truck,15.3,0
381,4,55,494,365,146,00382.jpg,SUV,18,0
382,80,1,549,431,58,00383.jpg,SUV,19,1
383,51,87,489,290,59,00384.jpg,Convertible,18.7,1
384,217,199,631,358,141,00385.jpg,Coupe,20.3,1
385,65,321,1232,828,56,00386.jpg,Coupe,18,0
386,47,150,1007,635,63,00387.jpg,Sedan,29.8,1
387,18,53,244,175,131,00388.jpg,SUV,22,1
388,5,96,409,262,48,00389.jpg,SUV,16.3,0
389,14,21,782,487,160,00390.jpg,Coupe,18,0
390,433,262,1339,985,166,00391.jpg,Van,18.3,0
391,62,220,992,667,4,00392.jpg,Sedan,20.7,1
392,110,266,986,700,195,00393.jpg,SUV,16.8,0
393,229,126,624,345,147,00394.jpg,SUV,17.5,0
394,58,45,205,165,131,00395.jpg,SUV,22,1
395,21,99,442,295,165,00396.jpg,Sedan,17.5,0
396,30,29,282,164,23,00397.jpg,Sedan,21,1
397,29,93,408,242,40,00398.jpg,Sedan,11,0
398,121,108,655,387,26,00399.jpg,Sedan,26,1
399,32,51,260,153,181,00400.jpg,Sedan,23.7,1
400,24,78,366,232,88,00401.jpg,Van,18.6,0
401,1,18,392,240,17,00402.jpg,Sedan,18.3,0
402,299,199,1415,894,110,00403.jpg,SUV,25.2,1
403,30,132,724,361,180,00404.jpg,Coupe,15,0
404,42,37,624,328,10,00405.jpg,Convertible,15,0
405,1,157,990,640,75,00406.jpg,Pickup Truck,16,0
406,19,136,498,329,59,00407.jpg,Convertible,18.7,1
407,49,76,343,266,19,00408.jpg,Hatchback,26,1
408,21,66,605,463,189,00409.jpg,SUV,19,1
409,31,119,404,248,5,00410.jpg,Sedan,23.7,1
410,52,47,586,260,14,00411.jpg,Coupe,26,1
411,195,372,1908,1339,176,00412.jpg,Sedan,15,0
412,33,150,613,401,80,00413.jpg,Convertible,19.5,1
413,316,344,1269,891,86,00414.jpg,Pickup Truck,15.4,0
414,81,552,1917,1153,55,00415.jpg,Convertible,18,0
415,122,157,921,587,112,00416.jpg,Coupe,14,0
416,63,69,603,385,50,00417.jpg,SUV,18.5,0
417,12,70,388,273,57,00418.jpg,Coupe,18.3,0
418,50,89,584,387,73,00419.jpg,Sedan,21.2,1
419,71,64,425,328,99,00420.jpg,Hatchback,30,1
420,71,158,690,341,152,00421.jpg,Coupe,15.3,0
421,32,74,277,203,162,00422.jpg,Sedan,20.8,1
422,69,59,637,461,85,00423.jpg,Van,18.3,0
423,22,83,415,322,5,00424.jpg,Sedan,23.7,1
424,48,36,572,300,7,00425.jpg,Hatchback,19,1
425,85,318,1223,863,194,00426.jpg,Sedan,20.5,1
426,33,128,581,458,117,00427.jpg,Sedan,32,1
427,33,102,595,429,179,00428.jpg,Convertible,15,0
428,83,182,573,402,73,00429.jpg,Sedan,21.2,1
429,82,74,589,340,185,00430.jpg,Sedan,89,1
430,47,201,534,426,187,00431.jpg,Sedan,32.8,1
431,54,128,429,353,163,00432.jpg,Coupe,15,0
432,58,189,879,642,164,00433.jpg,Sedan,21,1
433,18,50,280,162,171,00434.jpg,Coupe,20.5,1
434,20,75,606,325,64,00435.jpg,Van,14.8,0
435,20,51,271,180,51,00436.jpg,Sedan,19,1
436,19,67,412,314,99,00437.jpg,Hatchback,30,1
437,52,94,543,323,26,00438.jpg,Sedan,26,1
438,11,89,644,415,49,00439.jpg,Sedan,24,1
439,12,60,456,306,107,00440.jpg,Convertible,18.2,0
440,30,35,382,235,115,00441.jpg,Sedan,25.3,1
441,53,56,391,278,190,00442.jpg,Hatchback,27.6,1
442,37,60,218,144,143,00443.jpg,SUV,16,0
443,4,4,377,277,79,00444.jpg,Sedan,18.8,1
444,121,169,1387,775,180,00445.jpg,Coupe,15,0
445,17,41,465,293,24,00446.jpg,Sedan,15.5,0
446,43,110,462,296,162,00447.jpg,Sedan,20.8,1
447,37,67,617,437,178,00448.jpg,Hatchback,29,1
448,66,117,506,289,180,00449.jpg,Coupe,15,0
449,57,59,506,288,15,00450.jpg,Coupe,14.8,0
450,66,90,507,385,189,00451.jpg,SUV,19,1
451,59,42,256,165,108,00452.jpg,Van,17.5,0
452,65,91,391,278,121,00453.jpg,SUV,19,1
453,251,299,1423,901,49,00454.jpg,Sedan,24,1
454,434,136,1528,829,194,00455.jpg,Sedan,20.5,1
455,79,63,285,171,42,00456.jpg,Coupe,14,0
456,79,91,600,456,118,00457.jpg,SUV,22,1
457,16,96,483,277,108,00458.jpg,Van,17.5,0
458,39,81,597,465,84,00459.jpg,Station Wagon,24,1
459,95,139,886,541,182,00460.jpg,Sedan,24.8,1
460,111,2,553,350,179,00461.jpg,Convertible,15,0
461,5,8,83,58,1,00462.jpg,SUV,10,0
462,113,75,1551,1136,89,00463.jpg,SUV,20.3,1
463,72,216,884,579,133,00464.jpg,SUV,18.5,0
464,53,115,565,380,187,00465.jpg,Sedan,32.8,1
465,104,261,511,480,178,00466.jpg,Hatchback,29,1
466,47,92,209,178,14,00467.jpg,Coupe,26,1
467,1,18,300,147,111,00468.jpg,Pickup Truck,18.7,1
468,13,88,483,259,93,00469.jpg,Coupe,16.5,0
469,4,9,409,193,92,00470.jpg,Station Wagon,18.6,0
470,3,7,253,165,18,00471.jpg,Station Wagon,18,0
471,34,315,1832,905,140,00472.jpg,Sedan,23,1
472,18,38,249,178,65,00473.jpg,Pickup Truck,17,0
473,70,125,389,340,129,00474.jpg,Sedan,25.3,1
